CustomerKey,FirstName,LastName,FullName,Gender,Address,DateFirstPurchase,City,PostCode
11128,Samantha,Long,Samantha Long,Female,1606 Alderwood Lane,2022-06-19,Renton,98055
11129,Julia,Wright,Julia Wright,Female,7397 Central Blvd.,2020-08-06,Sedro Woolley,98284
11130,Caroline,Russell,Caroline Russell,Female,3884 Bates Court,2022-12-09,Lebanon,97355
11131,Amanda,Rivera,Amanda Rivera,Female,9573 Royal Oak Rd.,2022-10-18,Haney,V2W 1W2
11132,Melissa,Richardson,Melissa Richardson,Female,6832 Fruitwood Dr,2022-04-09,Langford,V9
11133,Angela,Griffin,Angela Griffin,Female,3828 Baltic Sea Ct,2022-12-30,Lake Oswego,97034
11134,Larry,Townsend,Larry Townsend,Male,7034 Carson,2020-05-03,Perth,6006
11135,Marcus,Harris,Marcus Harris,Male,9068 Quiet Place Drive,2022-04-18,Burlingame,94010
11136,Brianna,Morgan,Brianna Morgan,Female,9005 Eagle Ct.,2022-01-03,Metchosin,V9
11137,Jasmine,Taylor,Jasmine Taylor,Female,2457 Matterhorn Court,2022-07-31,Spokane,99202
11138,Lauren,Davis,Lauren Davis,Female,8105 Pembrook Court,2022-09-19,Glendale,91203
11139,Tanya,Moreno,Tanya Moreno,Female,6155 Wilbur Drive,2022-09-14,Cloverdale,6105
11140,Javier,Alvarez,Javier Alvarez,Male,8935 Etcheverry Dr.,2022-03-19,Burbank,91502
11141,Nicole,Ramirez,Nicole Ramirez,Female,1101 C Street,2022-05-16,Daly City,94015
11142,Eduardo,Patterson,Eduardo Patterson,Male,6255 Macalvey Dr.,2022-02-13,Langford,V9
11143,Jonathan,Henderson,Jonathan Henderson,Male,165 East Lane Road,2022-06-15,Lakewood,90712
11144,Edward,Hernandez,Edward Hernandez,Male,7607 Pine Hollow Road,2022-01-25,Ballard,98107
11145,Jasmine,Coleman,Jasmine Coleman,Female,1961 Oak Grove Road,2022-01-25,Beaverton,97005
11146,Karla,Goel,Karla Goel,Female,3272 Corrie Lane,2022-02-05,Matraville,2036
11147,Ernest,Wu,Ernest Wu,Male,1832 RiverRock Dr,2020-05-13,Warrnambool,3280
11148,Ross,Vazquez,Ross Vazquez,Male,1201 Paso Del Rio Way,2022-03-07,East Brisbane,4169
11149,Theodore,Gill,Theodore Gill,Male,9120 Pinewood Court,2022-06-04,Hervey Bay,4655
11150,Russell,Shen,Russell Shen,Male,4755 Easley Drive,2022-03-27,Sunbury,3429
11151,Melinda,Gill,Melinda Gill,Female,805 Rainier Dr.,2020-05-15,Sydney,1002
11152,James,Williams,James Williams,Male,6827 Seagull Court,2022-01-09,Puyallup,98371
11153,Angela,James,Angela James,Female,8877 Weatherly Drive,2022-03-29,Renton,98055
11154,Megan,Walker,Megan Walker,Female,6898 Holiday Hills,2022-01-10,Woodburn,97071
11155,Hunter,Robinson,Hunter Robinson,Male,8356 Mori Court,2022-01-06,Burbank,91502
11156,Maria,Roberts,Maria Roberts,Female,9452 Mariposa Ct.,2022-01-08,Lakewood,90712
11157,Hannah,Long,Hannah Long,Female,1832 Preston Ct.,2022-07-24,Tacoma,98403
11158,Jason,Wright,Jason Wright,Male,6771 Bundros Court,2022-01-19,San Gabriel,91776
11159,Brianna,Hughes,Brianna Hughes,Female,6793 Bonifacio St.,2022-09-08,Woodland Hills,91364
11160,Maurice,Tang,Maurice Tang,Male,2886 Chaparral Court,2022-02-21,Concord,94519
11161,Emily,Wood,Emily Wood,Female,1562 Black Walnut,2022-06-01,Concord,94519
11162,Chase,Cox,Chase Cox,Male,P.O. Box 8070,2022-02-18,La Jolla,92806
11163,Gabriel,Wang,Gabriel Wang,Male,8002 Crane Court,2022-05-01,Spring Valley,91977
11164,Devin,Brooks,Devin Brooks,Male,4231 Highland Dr.,2022-04-27,Torrance,90505
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,3376 Bank Way,2022-05-25,Oakland,94611
11166,Ashley,Martinez,Ashley Martinez,Female,6993 Whyte Park Ave.,2022-10-14,Olympia,98501
11167,Jasmine,Barnes,Jasmine Barnes,Female,9183 Via Del Sol,2022-01-07,Issaquah,98027
11168,David,Rodriguez,David Rodriguez,Male,38 Shangri-la Rd.,2022-01-15,Oakland,94611
11169,Bryce,Richardson,Bryce Richardson,Male,1841 Blackwood Drive,2022-05-26,Coronado,92118
11170,Carol,Howard,Carol Howard,Female,6281 Edward Ave,2022-08-26,Burien,98168
11171,Jonathan,Hill,Jonathan Hill,Male,3731 Chinquapin Ct,2020-08-20,Woodland Hills,91364
11172,Gabrielle,Adams,Gabrielle Adams,Female,5621 Arcadia Pl.,2022-05-03,Lynnwood,98036
11173,Sarah,Thomas,Sarah Thomas,Female,5636 Mt. Whitney Dr.,2022-03-02,W. Linn,97068
11174,Nicholas,Robinson,Nicholas Robinson,Male,1318 Lasalle Street,2022-07-13,Los Angeles,90012
11175,Luis,Wang,Luis Wang,Male,6943 Patterson Blvd.,2020-08-28,Beverly Hills,90210
11176,Mason,Roberts,Mason Roberts,Male,5753 Megan Dr.,2022-02-02,Haney,V2W 1W2
11177,Jose,Flores,Jose Flores,Male,3991 Rambling Rose Drive,2022-03-29,San Diego,92102
11178,Nathan,Johnson,Nathan Johnson,Male,8927 Daylight Place,2022-02-21,Lakewood,90712
11179,Molly,Rodriguez,Molly Rodriguez,Female,5556 Riverland Dr.,2022-03-12,Beverly Hills,90210
11180,April,Anand,April Anand,Female,3531 Brookview Drive,2022-03-17,Chula Vista,91910
11181,Devin,Martin,Devin Martin,Male,1085 Greenbelt Way,2022-05-07,Los Angeles,90012
11182,Stephanie,Torres,Stephanie Torres,Female,6968 Mildred Ln.,2022-08-28,Sedro Woolley,98284
11183,Jasmine,Lee,Jasmine Lee,Female,7502 Contuti Avenue,2022-04-30,Santa Cruz,95062
11184,Meghan,Hernandez,Meghan Hernandez,Female,5872 L St.,2022-08-10,Concord,94519
11185,Ashley,Henderson,Ashley Henderson,Female,8834 San Jose Ave.,2022-02-21,Metchosin,V9
11186,Sarah,Price,Sarah Price,Female,4815 Paraiso Ct.,2022-10-18,Palo Alto,94303
11187,Jennifer,Cooper,Jennifer Cooper,Female,2429 Longview Road,2022-04-03,Burien,98168
11188,Catherine,Morris,Catherine Morris,Female,6542 Stonewood Drive,2022-11-01,San Gabriel,91776
11189,Lawrence,Blanco,Lawrence Blanco,Male,7502 Contuti Avenue,2020-08-26,Bellingham,98225
11190,Carson,Bryant,Carson Bryant,Male,2995 Youngsdale Dr.,2022-08-28,Beverly Hills,90210
11191,Kristi,Perez,Kristi Perez,Female,1769 Lislin Ct,2020-08-11,Colma,94014
11192,James,Brown,James Brown,Male,673 Old Mountain View Dr.,2022-06-23,Seattle,98104
11193,Ian,Gray,Ian Gray,Male,5941 Gill Dr.,2022-02-25,Woodburn,97071
11194,Jacqueline,Price,Jacqueline Price,Female,872 Mark Twain Dr,2022-03-13,Palo Alto,94303
11195,Megan,Henderson,Megan Henderson,Female,8411 Mt. Olivet Place,2022-04-14,Renton,98055
11196,Alfredo,Romero,Alfredo Romero,Male,2499 Greendell Pl,2022-03-03,Beaverton,97005
11197,Andrea,Morris,Andrea Morris,Female,1883 Green View Court,2022-05-02,Seattle,98104
11198,Brooke,Sanders,Brooke Sanders,Female,5192 Dumbarton Drive,2022-02-05,Santa Cruz,95062
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,8948 Chinquapin Court,2022-03-18,Burlingame,94010
11200,Jason,Griffin,Jason Griffin,Male,7239 Nicholas Drive,2022-02-07,Victoria,V8V
11201,Amanda,Foster,Amanda Foster,Female,3984 San Francisco,2022-07-01,Santa Monica,90401
11202,Alexia,Price,Alexia Price,Female,2079 Wellington Ct,2022-09-15,Lakewood,90712
11203,Luis,Diaz,Luis Diaz,Male,3682 Diablo View Road,2022-02-20,Port Hammond,V6B 3P7
11204,Destiny,Rivera,Destiny Rivera,Female,6965 Appalachian Drive,2022-08-09,Beaverton,97005
11205,Abby,Fernandez,Abby Fernandez,Female,8330 Glenside Court,2022-07-27,Burien,98168
11206,Blake,Flores,Blake Flores,Male,9410 Ferry St.,2022-05-11,Lynnwood,98036
11207,Danielle,Cox,Danielle Cox,Female,2346 Wren Ave,2022-01-31,Renton,98055
11208,Maria,Reed,Maria Reed,Female,1413 Bridgeview St,2022-03-04,Glendale,91203
11209,Allison,Evans,Allison Evans,Female,3515 Sutton Circle,2022-03-25,Lincoln Acres,91950
11210,Edward,Wood,Edward Wood,Male,1039 Adelaide St.,2022-05-06,West Covina,91791
11211,Samantha,Russell,Samantha Russell,Female,9256 Village Oaks Dr.,2022-02-01,Haney,V2W 1W2
11212,Chloe,Campbell,Chloe Campbell,Female,3562 East Ave.,2022-01-30,Metchosin,V9
11213,Stephanie,Murphy,Stephanie Murphy,Female,5514 Grant Street,2022-03-28,Edmonds,98020
11214,Charles,Miller,Charles Miller,Male,2719 Little Dr,2022-08-14,Milwaukie,97222
11215,Ana,Perry,Ana Perry,Female,3114 Arlington Way,2022-02-15,Royal Oak,V8X
11216,Jasmine,Torres,Jasmine Torres,Female,8328 San Francisco,2020-08-15,Portland,97205
11217,Natalie,Adams,Natalie Adams,Female,6592 Bent Tree Lane,2020-08-10,Portland,97205
11218,Olivia,Brown,Olivia Brown,Female,3964 Stony Hill Circle,2022-02-28,Tacoma,98403
11219,Charles,Cook,Charles Cook,Male,6871 Bel Air Dr.,2022-10-29,Woodburn,97071
11220,Erica,Huang,Erica Huang,Female,9142 All Ways Drive,2022-03-14,Colma,94014
11221,Nathan,Perry,Nathan Perry,Male,9714 Nicholas Drive,2022-04-07,Lakewood,90712
11222,Alexandra,Rivera,Alexandra Rivera,Female,4999 Corte Segunda,2022-11-01,Santa Monica,90401
11223,Hailey,Patterson,Hailey Patterson,Female,5045 Vancouver Way,2022-01-29,Langley,V3A 4R2
11224,Tiffany,Li,Tiffany Li,Female,6404 Del Mar Ave,2020-08-07,Burien,98168
11225,Madison,Lee,Madison Lee,Female,5927 Seaview Avenue,2022-06-22,Renton,98055
11226,Sydney,Ross,Sydney Ross,Female,5252 Santa Fe,2022-02-21,W. Linn,97068
11227,Marshall,Chavez,Marshall Chavez,Male,9022 Estudillo Street,2020-08-03,Colma,94014
11228,Ashley,Jones,Ashley Jones,Female,7681 Willow Pass Road,2022-10-25,El Cajon,92020
11229,Adrian,Stewart,Adrian Stewart,Male,6898 Shaw Rd.,2022-07-27,Redwood City,94063
11230,Amber,Turner,Amber Turner,Female,6345 Ridge Circle,2022-07-16,Santa Monica,90401
11231,Dennis,Zhang,Dennis Zhang,Male,3951 Calle Verde Drive,2022-02-10,Bremerton,98312
11232,Hailey,Bryant,Hailey Bryant,Female,2828 Rogers Ave.,2022-09-20,Everett,98201
11233,Todd,Li,Todd Li,Male,5897 Scottsdale Rd.,2022-02-08,Berkeley,94704
11234,Anna,Griffin,Anna Griffin,Female,7221 Peachwillow Street,2022-02-08,Long Beach,90802
11235,Angel,Stewart,Angel Stewart,Male,2585 La Salle Ct.,2022-07-04,Ballard,98107
11236,Jeremy,Butler,Jeremy Butler,Male,8811 The Trees Dr.,2022-10-03,Bellingham,98225
11237,Clarence,Anand,Clarence Anand,Male,Welt Platz 6,2020-09-05,Solingen,42651
11238,Mayra,Prasad,Mayra Prasad,Female,1119 Elderwood Dr.,2020-01-06,Birmingham,B29 6SL
11239,Latoya,Goel,Latoya Goel,Female,8154 Pheasant Circle,2020-01-19,London,SW1P 2NU
11240,Anne,Hernandez,Anne Hernandez,Female,76 Woodcrest Dr.,2020-02-27,Watford,WA3
11241,Lisa,Cai,Lisa Cai,Female,"102, rue de Berri",2021-09-10,Les Ulis,91940
11242,Larry,Munoz,Larry Munoz,Male,Midi-Couleurs,2021-09-19,Versailles,78000
11243,Robin,Alvarez,Robin Alvarez,Female,4086 Emmons Canyon Lane,2020-02-21,Esher-Molesey,EM15
11244,Alexis,Coleman,Alexis Coleman,Female,7140 Camelback Road,2020-02-12,Runcorn,TY31
11245,Ricky,Vazquez,Ricky Vazquez,Male,Roßstr 9928,2020-09-26,Hamburg,22001
11246,Latasha,Rubio,Latasha Rubio,Female,Alderstr 7690,2020-10-03,Hamburg,20354
11247,Claudia,Zhou,Claudia Zhou,Female,6516 Beauer Lane,2020-02-18,Lancaster,LA1 1LN
11248,Tristan,Alexander,Tristan Alexander,Male,"88, avenue des Champs-Elysées",2022-07-14,Saint-Denis,93400
11249,Cindy,Patel,Cindy Patel,Female,Essener Straße 123,2020-10-09,Sulzbach Taunus,66272
11250,Shannon,Liu,Shannon Liu,Female,4185 Keywood Ct.,2020-03-17,Woolston,WA1 4SY
11251,Xavier,Long,Xavier Long,Male,9245 Dantley Way,2022-10-18,Haney,V2W 1W2
11252,Nicholas,Thompson,Nicholas Thompson,Male,504 O St.,2020-08-14,Lemon Grove,91945
11253,José,Hernandez,José Hernandez,Male,5703 Donald Dr.,2022-03-01,Victoria,V8V
11254,Johnathan,Vance,Johnathan Vance,Male,9430 Versailles Pl,2022-11-23,Burien,98168
11255,Colin,Lin,Colin Lin,Male,6083 San Jose,2022-02-23,Burien,98168
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,7496 Deerfield Dr.,2022-04-15,Lynnwood,98036
11257,Jacqueline,Powell,Jacqueline Powell,Female,4076 Northwood Dr,2020-08-24,Newport Beach,92625
11258,Xavier,Hill,Xavier Hill,Male,2707 Virgil Street,2022-05-21,Palo Alto,94303
11259,Victoria,Stewart,Victoria Stewart,Female,3623 Barquentine Court,2020-09-04,Salem,97301
11260,Katelyn,Kelly,Katelyn Kelly,Female,7085 Solano Drive,2022-02-05,Burlingame,94010
11261,Stephanie,Collins,Stephanie Collins,Female,2868 Central Avenue,2020-09-27,San Diego,92102
11262,Jennifer,Simmons,Jennifer Simmons,Female,7959 Mt. Wilson Way,2022-02-27,Port Hammond,V6B 3P7
11263,Trinity,Richardson,Trinity Richardson,Female,3063 Blue Jay Drive,2020-08-29,Burien,98168
11264,Eduardo,Martin,Eduardo Martin,Male,5137 Pheasant Court,2022-01-02,Issaquah,98027
11265,Elizabeth,Jones,Elizabeth Jones,Female,2253 Firestone Dr.,2022-01-03,Kirkland,98033
11266,Taylor,Howard,Taylor Howard,Female,7396 Stratton Circle,2020-09-10,Port Orchard,98366
11267,David,Diaz,David Diaz,Male,2075 Browse Ct,2020-09-17,Burlingame,94010
11268,Katelyn,Carter,Katelyn Carter,Female,3050 Monte Cresta Avenue,2022-05-29,Coronado,92118
11269,Ryan,Foster,Ryan Foster,Male,5376 Sahara Drive,2022-08-22,Daly City,94015
11270,Robert,Lee,Robert Lee,Male,5461 Camino Verde Ct.,2020-09-10,Lakewood,90712
11271,Danielle,Reed,Danielle Reed,Female,6683 Carrick Ct,2020-09-27,San Francisco,94109
